winner,victory,losers,duration
Robert the Bruce,science,"['Ambiorix', 'Hammurabi', 'Menelik II']",0.0
John Curtin,science,"['Theodora', 'Matthias Corvinus', 'Kublai Khan (Mongolia)']",0.0
Dido,science,"['Cyrus', 'Ambiorix', 'Jadwiga']",1740.7843642234802
Amanitore,science,"['Ludwig II', 'Gitarja', 'John Curtin']",1651.3285899162292
Gitarja,religious,"['Lautaro', 'Seondeok', 'Harald Hardrada (Konge)']",858.9247615337372
John Curtin,science,"['Gilgamesh', 'Poundmaker', 'Mansa Musa']",1657.9052171707153
Jadwiga,religious,"['Mvemba a Nzinga', 'Hammurabi', 'Sundiata Keita']",570.6133441925049
Wilhelmina,science,"['Trajan', 'Pedro II', 'Ambiorix']",1278.2571563720703
Pedro II,religious,['Amanitore'],424.4666919708252
Kristina,religious,['Alexander'],227.7111246585846
Montezuma,science,['Kristina'],1020.8099381923676
Montezuma,religious,['Trajan'],556.8240592479706
Jayavarman VII,religious,['Kupe'],279.8798530101776
Peter,religious,['Tomyris'],329.53065729141235
Mansa Musa,religious,['John Curtin'],8.255010604858398
